ODO,QTY,CHRONO1,CHRONO2,MILES
303049,75.13,22356,5012,291
303406,78.55,22386,5024,357
303648,55.96,22405,5032,242
303861,58.98,22420,5037,213
304116,47.34,22440,5045,255
304330,67.06,22455,5052,214
304573,50.55,22474,5060,243
304846,74.78,22495,5069,273
305123,76.34,22517,5079,277
305367,58.52,22534,5087,244
305620,62.83,22554,5094,253
305833,43.69,22568,5099,213
306107,73.61,22587,5105,274
306376,65.92,22606,5112,269
306598,49.83,22620,5118,222
306729,34.49,22631,5122,131
306896,40.13,22644,5128,167
307133,55.66,22663,5135,237
307337,61.15,22680,5142,204
307594,61.64,22699,5150,257
307855,65.49,22718,5158,261
308096,58.45,22739,5168,241
308277,45.09,22755,5175,181
308564,64.06,22773,5180,287
308858,64.13,22792,5187,294
308992,38.95,22803,5191,134
309136,41.61,22815,5197,144
309241,2.8,22823,5201,105
309241,14.79,22823,5201,0
309462,39.71,22841,5209,221
309688,65.01,22856,5215,226
309941,61.76,22874,5222,253
310299,56.43,22897,5232,358
310426,48.53,22912,5242,127
310632,60.06,22929,5249,206
310840,48.02,22944,5254,208
311095,59.23,22962,5261,255
311354,63.72,22980,5270,259
311620,44.19,22999,5276,266
311770,48.8,23010,5281,150
312024,56.82,23028,5288,254
312228,36.49,23043,5294,204
312557,87.55,23064,5304,329
312810,59.97,23083,5311,253
313066,62.04,23100,5317,256
313174,13.68,23108,5320,108
313174,12.69,23108,5320,0
313427,63.61,23127,5328,253
313743,27.31,23149,5336,316
313968,75.1,23163,5341,225
314136,62.49,23175,5346,168
314347,40.92,23192,5352,211
314450,28.79,23198,5355,103
314583,23.26,23208,5360,133
314856,67.39,23227,5368,273
315017,46.21,23241,5375,161
315120,33.36,23252,5381,103
315256,24.69,23263,5386,136
315469,53.67,23279,5394,213
315686,54.51,23297,5401,217
315932,55.63,23315,5409,246
316008,17.92,23322,5412,76
316210,51.56,23342,5423,202
316324,24.05,23352,5428,114
316463,42.04,23362,5432,139
316649,41.51,23376,5438,186
316932,35.21,23401,5450,283
317101,32.16,23414,5456,169
317342,59.97,23434,5465,241
317523,43.16,23449,5471,181
317692,42.08,23461,5476,169
317941,53.71,23478,5481,249
318204,58.61,23497,5489,263
318382,37.36,23510,5494,178
318532,34.81,23521,5498,150
318712,55.21,23536,5506,180
318891,46.41,23551,5511,179
319110,46.69,23567,5518,219
319314,29.9,23582,5525,204
319314,13.11,23582,5525,0
319350,22.98,23588,5529,36
319564,48.65,23604,5536,214
319815,53.19,23622,5543,251
319945,31.45,23632,5548,130
320150,39.79,23648,5555,205
320450,82.73,23672,5565,300
320655,44.76,23688,5572,205
321114,54.65,23723,5588,459
321261,40.54,23736,5593,147
321410,34.99,23747,5597,149
321635,59.3,23764,5604,225
321750,2.5,23773,5607,115
321934,56.98,23788,5613,184
322105,46.79,23800,5618,171
322353,5.37,23819,5625,248
322353,43.7,23819,5625,0
322429,13.436,23828,5631,76
322677,43.94,23848,5638,248
322968,65.63,23870,5647,291
323022,24.31,23874,5648,54
323241,49.2,23893,5657,219
323481,49.67,23913,5665,240
323631,46.38,23925,5672,150
323770,34.25,23937,5677,139
324017,38.12,23956,5685,247
324017,3.69,23956,5685,0
324017,17.7,23956,5685,0
324201,50.51,23969,5691,184
324424,47.85,23986,5698,223
324594,37.95,23999,5702,170
324850,60.18,24017,5708,256
325032,37.74,24031,5713,182
325144,23.6,24046,5722,112
325272,39.7,24056,5726,128
325370,34.15,24064,5730,98
325591,52.51,24084,5740,221
325740,37.99,24095,5745,149
325980,64.33,24113,5752,240
326146,29.16,24127,5758,166
326427,71.98,24147,5765,281
326634,50.12,24164,5774,207
326835,23.83,24181,5781,201
326835,2.28,24181,5781,0
326835,1.94,24181,5781,0
326835,16.94,24181,5781,0
327089,79.12,24207,5796,254
327352,56.22,24225,5803,263
327668,81.52,24249,5812,316
327900,37.85,24260,5817,232
328179,51.19,24275,5823,279
328364,47.34,24288,5829,185
328655,71.8,24310,5839,291
328800,48.16,24323,5846,145
329077,60.37,24345,5855,277
329325,59.34,24363,5863,248
329518,57.09,24379,5871,193
329781,62.86,24403,5882,263
330067,66.4,24424,5891,286
330344,67.33,24445,5900,277
330675,76.43,24471,5911,331
330980,66.35,24496,5921,305
331113,47.99,24507,5926,133
331392,57.46,24526,5934,279
331594,47.04,24544,5942,202
331988,92.37,24572,5952,394
332133,41.26,24583,5956,145
332252,37.01,24593,5960,119
332512,63.72,24614,5968,260
332765,57.28,24631,5975,253
332981,53.87,24647,5982,216
333240,65.69,24669,5991,259
333551,45.04,24692,6000,311
333551,19.77,24692,6000,0
333760,68.85,24711,6008,209
334013,59.49,24730,6017,253
334203,51.33,24744,6022,190
334467,41.96,24763,6030,264
334649,39.4,24777,6035,182
334796,48.26,24789,6040,147
334804,24.49,24799,6050,8
335136,75.51,24822,6058,332
335327,2.62,24834,6061,191
335327,48.04,24834,6061,0
335683,67.42,24859,6071,356
335956,70.44,24878,6078,273
336187,61.51,24899,6087,231
336373,54.05,24914,6094,186
336691,65.14,24935,6102,318
336994,60.37,24962,6114,303
337119,49.4,24972,6119,125
337277,33.43,24984,6123,158
337424,45.76,24997,6129,147
337636,55.99,25011,6135,212
337914,0.33,25031,6142,278
337914,49.02,25031,6142,0
338110,58.72,25044,6147,196
338408,73.71,25070,6159,298
338670,57.35,25088,6166,262
338944,80.12,25113,6176,274
339121,50.85,25125,6181,177
339462,69.03,25147,6189,341
339658,52.54,25161,6195,196
339916,58.98,25180,6202,258
340130,48.3,25194,6206,214
340319,50.4,25209,6212,189
340581,66,25232,6223,262
340858,59.76,25249,6228,277
341117,53.82,25267,6235,259
341340,49.93,25286,6243,223
341692,99.03,25319,6261,352
341957,59.69,25339,6269,265
342140,54.79,25353,6276,183
342473,75.94,25382,6287,333
342832,79.67,25407,6297,359
343055,75.73,25427,6307,223
343297,57.84,25446,6314,242
343539,53.92,25464,6321,242
343797,59.28,25483,6329,258
343981,27.83,25498,6335,184
344240,74.69,25516,6342,259
344428,43.13,25530,6347,188
344724,75.62,25554,6358,296
344909,47.7,25570,6364,185
345057,26.64,25583,6371,148
345057,12.15,25583,6371,0
345344,62.05,25607,6383,287
345456,36.02,25616,6386,112
345869,2.93,25647,6398,413
345869,86.09,25647,6398,0
346072,43.96,25661,6405,203
346349,56.7,25675,6410,277
346583,61.49,25696,6419,234
346863,55.8,25714,6425,280
347266,46.29,25742,6437,403
347266,44.06,25742,6437,0
347532,65.62,25761,6443,266
347763,60.57,25780,6452,231
347986,55.45,25796,6459,223
348279,46.21,25818,6468,293
348530,81.95,25837,6476,251
348773,69.83,25862,6488,243
349054,74.78,25881,6495,281
349298,63.19,25898,6503,244
349695,69.49,25927,6514,397
349864,54.67,25942,6522,169
350321,53.24,25976,6535,457
350488,47.18,25989,6541,167
350629,34.4,26002,6547,141
350848,44.4,26020,6555,219
351023,44.87,26033,6561,175
351236,41.94,26048,6566,213
351470,54.88,26067,6574,234
351608,39.65,26077,6578,138
351938,71.11,26102,6588,330
352160,55.65,26120,6597,222
352344,43.23,26136,6604,184
352583,53.78,26155,6613,239
352775,40.05,26171,6620,192
352957,52.58,26185,6626,182
353222,45.78,26203,6633,265
353222,8.57,26203,6633,0
353439,33.26,26219,6640,217
353439,22.19,26219,6640,0
353625,37.59,26234,6646,186
353880,50.33,26252,6653,255
354018,28.58,26262,6657,138
354018,16.27,26262,6657,0
354302,40.23,26282,6666,284
354302,15.33,26282,6666,0
354628,10.43,26308,6676,326
354628,60.11,26308,6676,0
354804,41.73,26320,6682,176
355073,45.48,26338,6687,269
355329,63.15,26356,6695,256
355437,28.21,26367,6701,108
355705,59.23,26387,6709,268
355950,54.08,26406,6717,245
356158,68.68,26433,6734,208
356279,31.93,26443,6739,121
356727,57.23,26481,6756,448
356828,32.55,26490,6761,101
357052,49.55,26507,6768,224
357180,34.56,26521,6776,128
357326,32.96,26532,6781,146
357531,48.6,26551,6790,205
357648,28.58,26561,6794,117
357922,56.96,26580,6802,274
358063,35.52,26591,6806,141
358183,32.47,26602,6813,120
358354,6.61,26617,6820,171
358354,35.6,26617,6820,0
358606,58.53,26636,6828,252
358793,45.03,26651,6834,187
359001,51.06,26668,6842,208
359179,48.25,26689,6853,178
359415,51.05,26709,6862,236
359463,16.87,26714,6864,48
359681,43.39,26731,6871,218
359819,33.76,26744,6877,138
360067,12.89,26763,6884,248
360067,45.21,26763,6884,0
360323,61.87,26782,6891,256
360459,0.64,26806,6907,136
360459,37.61,26806,6907,0
